Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Renewables (% electricity),Hydro (% equivalent primary energy),Hydro (% electricity),Wind Capacity,Wind (% equivalent primary energy),Wind (% electricity),Solar Capacity,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total,Geothermal Capacity
China,CHN,1981,4.066497,0.0,0.0,0.0,65.51318,0.0,65.51318,0.0,0.0,,4.066497,,,0.0,,,0.0,,,
China,CHN,1982,4.4212723,0.0,0.0,0.0,74.41386,0.0,74.41386,0.0,0.0,,4.4212723,,,0.0,,,0.0,,,
China,CHN,1983,4.8234906,0.0,0.0,0.0,86.41695,0.0,86.41695,0.0,0.0,,4.8234906,,,0.0,,,0.0,,,
China,CHN,1984,4.515455,0.0,0.0,0.0,86.8147,0.0,86.8147,0.0,0.0,,4.515455,,,0.0,,,0.0,,,
China,CHN,1985,4.44183,0.0,0.0,0.0,92.38756,0.0,92.38756,0.0,0.0,22.495691,4.44183,22.495691,,0.0,0.0,,0.0,0.0,,
China,CHN,1986,4.3385277,0.0,0.0,0.0,94.548645,0.0,94.548645,0.0,0.0,21.032778,4.3385277,21.032778,,0.0,0.0,,0.0,0.0,,
China,CHN,1987,4.2555475,0.0,0.0,0.0,100.02428,0.0,100.02428,0.0,0.0,20.114803,4.2555475,20.114803,,0.0,0.0,,0.0,0.0,,
China,CHN,1988,4.3230724,0.0,0.0,0.0,109.16802,0.0,109.16802,0.0,0.0,20.023113,4.3230724,20.023113,,0.0,0.0,,0.0,0.0,,
China,CHN,1989,4.468027,0.0,0.0,0.0,118.40898,0.0,118.40898,0.0,0.0,20.247429,4.468027,20.247429,,0.0,0.0,,0.0,0.0,,
China,CHN,1990,4.7236676,0.064,0.002,0.002020202,126.74397,0.002020202,126.74397,0.002,0.064,20.414036,4.721199,20.403086,,7.523349e-05,0.0003252096,,7.453365e-05,0.0003219575,0.0,29.3
China,CHN,1991,4.424778,0.064,0.002,0.009090909,124.68895,0.009090909,124.68895,0.002,0.064,18.413998,4.422177,18.402914,,0.00032250112,0.0013417326,,7.096357e-05,0.00029518118,0.0,
China,CHN,1992,4.4127016,0.113,0.003,0.13131313,130.68608,0.13131313,130.68608,0.003,0.113,17.366556,4.404492,17.333752,,0.004425624,0.01741692,,0.00010099618,0.00039790967,0.0,
China,CHN,1993,4.7578607,0.117,0.004,0.21212122,151.84616,0.21212122,151.84616,0.004,0.117,18.75076,4.747567,18.709713,,0.006632106,0.026136499,,0.00012511939,0.0004928597,0.0,
